Vendor,Type,DD days,SD sites,SL days,Idle days,Total sites,Fixed cost,Payout,Profit
V01,2-Install,11,6,4,9,28,180000,210450,30450
V02,2-Install,12,6,4,8,30,180000,223900,43900
V03,2-Install,12,6,3,9,30,180000,221900,41900
V04,2-Install,11,6,4,9,28,180000,213950,33950
V05,2-Install,11,6,4,9,28,180000,207950,27950
V06,2-Install,11,6,4,9,28,180000,208450,28450
V07,2-Install,12,6,3,9,30,180000,222400,42400
V08,2-Install,12,6,4,8,30,180000,222900,42900
V09,1-Install,0,19,3,8,19,140000,168500,28500
V10,1-Install,0,18,4,8,18,140000,172500,32500
V11,1-Install,0,19,4,7,19,140000,169500,29500
V12,1-Install,0,18,3,9,18,140000,162000,22000
V13,1-Install,0,18,4,8,18,140000,157000,17000
V14,1-Install,0,19,3,8,19,140000,163000,23000
V15,1-Install,0,18,3,9,18,140000,150500,10500
V16,1-Install,0,19,3,8,19,140000,168500,28500
V17,1-Install,0,19,4,7,19,140000,160000,20000
V18,1-Install,0,19,4,7,19,140000,168000,28000
V19,1-Install,0,19,4,7,19,140000,163000,23000
V20,1-Install,0,18,4,8,18,140000,153000,13000
V21,1-Install,0,19,4,7,19,140000,163000,23000
V22,1-Install,0,19,4,7,19,140000,163500,23500
V23,1-Install,0,18,4,8,18,140000,162000,22000
V24,1-Install,0,19,3,8,19,140000,167500,27500
